Номен	Количество
23984756 79
582129	111
10642626	111
9602859	
5555555  555
9602860	7
10822270	6
10822271	6 end
8582123	6
10822274	6
10822276	6
10822278	6
10822283	6
8558456	6
8558459	6
10642620	6
8558463	6
10642625	6
10822291	6
10822273	5
77777777  77

10642617	5
10642618	5
8558458	5
10642619	5
10822288	5
10642623	5
10822284	4
10822285	4
10822286	4
8582130	4
10822281	3
10822211	10
10642611	10
8582111		10
10822211	10
10642611	10
8582111		10
10642611	10
8558411		10
10822211	10
10822211	10
11111111  999
